name,description,url,Caliber,System,Mag. Capacity,Barrel Length,Trigger Pull***,Weight_without_magazine,Weight_with_empty_magazine,Weight_with_loaded_magazine,Dimension_LENGTH (OVERALL)*,Dimension_SLIDE LENGTH,Dimension_WIDTH (OVERALL),Dimension_SLIDE WIDTH,Dimension_HEIGHT INCL. MAG.,Dimension_,Dimension_Sight Radius POLYMER,Dimension_Sight Radius STEEL,Dimension_Sight Radius GNS,Dimension_TRIGGER DISTANCE*
G19,"The G19 Gen5 is now available as an A-CUT™ COA™ Combo with the new Aimpoint™ COA™ red dot sight. The high-performance optic ensures fast target acquisition and exceptional accuracy even in challenging conditions. With the Aimpoint A-CUT™, the optic is mounted directly on the G19 Gen5 without the need for adapter plates, ensuring maximum stability.",https://eu.glock.com/en/products/pistols/g19-gen5-a-cut-coa-combo,9 mm Luger,Safe Action®,Standard: 15,102 mm | 4.02 inch,26 N,without magazine | 600 g | 21.16 oz incl. COA,with empty magazine | 680 g | 23.99 oz incl. COA,with loaded magazine** | 865 g | 30.51 oz incl. COA,185 mm | 7.28 inch,174 mm | 6.85 inch,34 mm | 1.34 inch,"25,5 mm | 1.00 inch",128 mm | 5.04 inch,148 mm | 5.83 inch,N/A,146 mm | 5.75 inch,N/A,70 mm | 2.76 inch
G43X,"The G43X is now available as an A-CUT™ COA™ Combo with the new Aimpoint™ COA™ red dot sight, a high-performance optic that ensures fast target acquisition and exceptional accuracy even in demanding conditions. With the Aimpoint A-CUT™, the optic is mounted directly on the G43X without the need for adapter plates, ensuring maximum stability.",https://eu.glock.com/en/products/pistols/g43x-a-cut-coa-combo,9 mm Luger,Safe Action®,Standard: 10,87 mm | 3.43 inch,24 N,without magazine | 480 g | 16.93 oz incl. COA,with empty magazine | 545 g | 19.22 oz incl. COA,with loaded magazine** | 670 g | 23.63 oz incl. COA,165 mm | 6.50 inch,154 mm | 6.06 inch,28 mm | 1.10 inch,22 mm | 0.87 inch,128 mm | 5.04 inch,148 mm | 5.83 inch,N/A,126 mm | 4.96 inch,N/A,67 mm | 2.64 inch
G45,"The G45 is now available as an A-CUT™ COA™ Combo with the new Aimpoint™ COA™ red dot sight, a high-performance optic that ensures fast target acquisition and exceptional accuracy even in demanding conditions. With the Aimpoint A-CUT™, the optic is mounted directly on the G45 without the need for adapter plates, ensuring maximum stability.",https://eu.glock.com/en/products/pistols/g45-a-cut-coa-combo,9 mm Luger,Safe Action®,Standard: 17,102 mm | 4.02 inch,26 N,without magazine | 620 g | 21.87 oz incl. COA,with empty magazine | 700 g | 24.69 oz incl. COA,with loaded magazine** | 910 g | 32.10 oz incl. COA,189 mm | 7.44 inch,174 mm | 6.85 inch,34 mm | 1.34 inch,"25,5 mm | 1.00 inch",139 mm | 5.47 inch,159 mm | 6.26 inch,N/A,146 mm | 5.75 inch,N/A,70 mm | 2.76 inch
G47,"The G47 is now available as an A-CUT™ COA™ Combo with the new Aimpoint™ COA™ red dot sight, a high-performance optic that ensures fast target acquisition and exceptional accuracy even in demanding conditions. With the Aimpoint A-CUT™, the optic is mounted directly on the G47 without the need for adapter plates, ensuring maximum stability.",https://eu.glock.com/en/products/pistols/g47-a-cut-coa-combo,9 mm Luger,Safe Action®,Standard: 17,114 mm | 4.49 inch,26 N,without magazine | 640 g | 22.58 oz incl. COA,with empty magazine | 720 g | 25.40 oz incl. COA,with loaded magazine** | 930 g | 32.80 oz incl. COA,202 mm | 7.95 inch,186 mm | 7.32 inch,34 mm | 1.34 inch,25.5 mm | 1.00 inch,139 mm | 5.47 inch,159 mm | 6.26 inch,N/A,158 mm | 6.22 inch,N/A,70 mm | 2.76 inch
G48,"The G48 is now available as an A-CUT™ COA™ Combo with the new Aimpoint™ COA™ red dot sight, a high-performance optic that ensures fast target acquisition and exceptional accuracy even in demanding conditions. With the Aimpoint A-CUT™, the optic is mounted directly on the G48 without the need for adapter plates, ensuring maximum stability.",https://eu.glock.com/en/products/pistols/g48-a-cut-coa-combo,9 mm Luger,Safe Action®,Standard: 10,106 mm | 4.17 inch,24 N,without magazine | 540 g | 19.05 oz incl. COA,with empty magazine | 605 g | 21.34 oz incl. COA,with loaded magazine** | 730 g | 25.75 oz incl. COA,185 mm | 7.28 inch,174 mm | 6.85 inch,28 mm | 1.10 inch,22 mm | 0.87 inch,128 mm | 5.04 inch,148 mm | 5.83 inch,N/A,146 mm | 5.75 inch,N/A,67 mm | 2.64 inch
G17,"Designed for professionals, the GLOCK 17 is trusted by law enforcement officers and military personnel around the globe because of its unsurpassed reliability, optimal magazine capacity of 17 rounds in the standard magazine and its low weight. With the signature ""Safe Action"" trigger system, the GLOCK 17 9 mm Luger pistol is safe, easy, and quick - precisely what you need in critical situations.",https://eu.glock.com/en/products/pistols/g17,9 mm Luger,Safe Action®,Standard: 17 | Optional: 19 / 24 / 31 / 33 / 10,114 mm | 4.49 inch,28 N,without magazine | 625 g | 22.05 oz,with empty magazine | 705 g | 24.87 oz,with loaded magazine** | 915 g | 32.28 oz,204 mm | 8.03 inch,186 mm | 7.32 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,165 mm | 6.50 inch,164 mm | 6.46 inch,163 mm | 6.42 inch,72 mm | 2.83 inch
G17,"The Modular Beavertail Backstrap Set of the GLOCK 17 Gen4 allows one to easily customize its grip to add comfort, regardless of the shooter's hand size. The surface of the frame features the new Gen4 rough textured profile. Internally, the new GLOCK dual recoil spring assembly substantially reduces the wear and tear on the system. A reversible enlarged magazine catch, changeable at user level accommodates left and right-handed operators.",https://eu.glock.com/en/products/pistols/g17-gen4,9 mm Luger,Safe Action®,Standard: 17 | Optional: 19 / 24 / 31 / 33 / 10,114 mm | 4.49 inch,28 N,without magazine | 625 g | 22.05 oz,with empty magazine | 705 g | 24.87 oz,with loaded magazine** | 915 g | 32.28 oz,202 mm | 7.95 inch,186 mm | 7.32 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,165 mm | 6.50 inch,164 mm | 6.46 inch,163 mm | 6.42 inch,70 mm | 2.76 inch
G17,"The GLOCK 17 Gen4 in MOS Configuration is a full-sized, optics-ready pistol perfect for duty and self-defence. The MOS Configuration makes it easy to mount a miniature reflex sight on the pistol’s slide without the need for a new slide or separate mounting system.",https://eu.glock.com/en/products/pistols/g17-gen4-mos,9 mm Luger,Safe Action®,Standard: 17 | Optional: 19 / 24 / 31 / 33 / 10,114 mm | 4.49 inch,28 N,without magazine | 625 g | 22.05 oz,with empty magazine | 705 g | 24.87 oz,with loaded magazine** | 915 g | 32.28 oz,202 mm | 7.95 inch,186 mm | 7.32 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,170 mm | 6.69 inch,169 mm | 6.65 inch,168 mm | 6.61 inch,70 mm | 2.76 inch
G17,"The new frame design of the GLOCK 17 Gen5 removed the finger grooves for more versatility but still allows to easily customize its grip by using the different Beavertail Backstraps. The slide has the superior GLOCK hard-surface  in non-reflective black. It comes with (FS) which provide an additional tactile surface choice when manipulating the slide giving the operator positive traction even with wet or sweaty hand. 

The of the frame gives the user more speed during reloading when fractions of a second matter. A reversible enlarged magazine catch, changeable at user level as well as the ambidextrous slide stop lever accommodate left and right-handed operators.",https://eu.glock.com/en/products/pistols/g17-gen5,9 mm Luger,Safe Action®,Standard: 17 | Optional: 10 / 24,114 mm  | 4.49 inch,26 N,without magazine | 630 g  | 22.22 oz,with empty magazine | 708 g  | 24.97 oz,with loaded magazine** | 945 g  | 33.33 oz,202 mm | 7.95 inch,186 mm | 7.32 inch,34 mm | 1.34 inch,"25,5 mm  | 1.00 inch",139 mm | 5.47 inch,,165 mm | 6.50 inch,164 mm | 6.46 inch,163 mm | 6.42 inch,70 mm | 2.76 inch
G17,"With the G17 Gen5 MOS GLOCK enhances the already near-perfect Gen5 model of ""The original"" with the addition of the Modular Optic System (MOS). The slide is precision machined to provide a mounting system for popular optic sights. With , you can quickly and easily mount miniature red dot sights to the rear of the Gen5 GLOCK slide, which has for easier and quicker manipulations.",https://eu.glock.com/en/products/pistols/g17-gen5-mos,9 mm Luger,Safe Action®,Standard: 17 | Optional: 10 / 24,114 mm  | 4.49 inch,26 N,without magazine | 625 g  | 22.05 oz,with empty magazine | 705 g  | 24.87 oz,with loaded magazine** | 945 g  | 33.33 oz,202 mm | 7.95 inch,186 mm | 7.32 inch,34 mm | 1.34 inch,"25,5 mm  | 1.00 inch",139 mm | 5.47 inch,,169 mm | 6.65 inch,168 mm | 6.61 inch,167 mm | 6.57 inch,70 mm | 2.76 inch
